record_id,account_id,project_id,predefined_health,free_text_details,timestamp,data_source
1,ACC030,PRJ025,Critical,"Critical resource resignation, no backup.",2025-10-12T15:29:25.761480,API
2,ACC012,PRJ031,Warning,"Client requested additional features, timeline at risk.",2025-09-30T15:29:25.761512,Manual
3,ACC023,PRJ002,Critical,Security vulnerability found in production.,2025-10-28T15:29:25.761519,PowerBI
4,ACC006,PRJ020,Warning,Budget is close to the limit.,2025-10-05T15:29:25.761523,Manual
5,ACC002,PRJ064,Good,Metrics look positive however client raised concerns.,2025-09-05T15:29:25.761528,API
6,ACC030,PRJ083,Critical,Legal compliance issues discovered.,2025-10-15T15:29:25.761532,PowerBI
7,ACC021,PRJ032,Good,Client satisfaction rating: 9/10.,2025-10-07T15:29:25.761535,PowerBI
8,ACC047,PRJ009,Good,"Delivery on track, documentation severely lacking.",2025-10-04T15:29:25.761539,PowerBI
9,ACC008,PRJ013,Good,Delivery expected unless,2025-10-24T15:29:25.761543,API
10,ACC048,PRJ014,Good,Stakeholder confidence severely impacted.,2025-09-23T15:29:25.761547,API
11,ACC016,PRJ008,Warning,Resource constraints causing small delays.,2025-09-25T15:29:25.761551,PowerBI
12,ACC043,PRJ064,Good,"Delivery on track, documentation severely lacking.",2025-10-31T15:29:25.761554,Manual
13,ACC024,PRJ070,Good,Everything is progressing well.,2025-10-10T15:29:25.761558,API
14,ACC019,PRJ005,Critical,Critical dependency resolved after 2-week delay. Timeline recovery plan activated. Team productivity improved 20% this sprint.,2025-09-19T15:29:25.761561,PowerBI
15,ACC014,PRJ020,Critical,Legal compliance issues discovered.,2025-11-30T15:29:25.761565,PowerBI
16,ACC027,PRJ046,Warning,Quality metrics slightly below target.,2025-11-26T15:29:25.761568,Manual
17,ACC033,PRJ074,Critical,Mostly healthy but timeline risk.,2025-10-04T15:29:25.761572,API
18,ACC036,PRJ067,Good,"Excellent feedback from client, internal issues though.",2025-11-01T15:29:25.761576,Manual
19,ACC050,PRJ007,Critical,On track overall but budget concerns emerging.,2025-10-15T15:29:25.761580,Manual
20,ACC005,PRJ084,Critical,Everything is progressing well.,2025-09-27T15:29:25.761584,PowerBI
21,ACC001,PRJ020,Critical,"Delyed due to vender isues, recovry planed.",2025-10-04T15:29:25.761588,PowerBI
22,ACC027,PRJ014,Warning,Slight delays due to vendor issues.,2025-11-21T15:29:25.761591,Manual
23,ACC038,PRJ040,Good,Client satisfaction rating: 9/10.,2025-10-25T15:29:25.761594,Manual
24,ACC033,PRJ029,Critical,"Financials good, schedule slipping.",2025-11-11T15:29:25.761598,Manual
25,ACC007,PRJ060,Critical,"Client escalation received, urgent intervention needed.",2025-09-04T15:29:25.761601,API
26,ACC016,PRJ034,Critical,Major budget overrun.,2025-11-08T15:29:25.761604,API
27,ACC047,PRJ030,Critical,Stakeohlder confidence severely impacted.,2025-10-12T15:29:25.761613,PowerBI
28,ACC037,PRJ075,Good,"Client escalation received, urgent intervention needed.",2025-10-07T15:29:25.761618,Manual
29,ACC025,PRJ078,Warning,Slight delays due to vendor issues.,2025-11-27T15:29:25.761622,API
30,ACC025,PRJ061,Warning,Resource constraints causing small delays.,2025-11-21T15:29:25.761626,PowerBI
31,ACC024,PRJ097,Critical,Stakeholder confidence severely impacted.,2025-10-08T15:29:25.761629,PowerBI
32,ACC019,PRJ017,Critical,"Critical resource resignation, no backup.",2025-09-22T15:29:25.761632,API
33,ACC026,PRJ020,Critical,Legal compliance isuses discovered.,2025-10-29T15:29:25.761639,PowerBI
34,ACC004,PRJ057,Warning,"Budget overrun by 15% due to unplanned scope expansion. Timeline extended by 3 weeks. Client approved changes, relationship stable.",2025-11-09T15:29:25.761642,Manual
35,ACC028,PRJ009,Critical,Key deliverable failed acceptance testing.,2025-11-22T15:29:25.761646,API
36,ACC028,PRJ039,Good,"Delyed due to vender isues, recovry planed.",2025-10-14T15:29:25.761650,PowerBI
37,ACC012,PRJ062,Critical,Project healthy overall despite recent setbacks.,2025-11-15T15:29:25.761653,PowerBI
38,ACC002,PRJ060,Good,"Budget utilization at 75%, timeline on track.",2025-10-06T15:29:25.761657,API
39,ACC017,PRJ067,Warning,Quality metrics slightly below target.,2025-11-30T15:29:25.761660,Manual
40,ACC010,PRJ054,Good,Everything is progressing well.,2025-10-27T15:29:25.761663,Manual
41,ACC002,PRJ008,Warning,"Client requested additional features, timeline at risk.",2025-09-15T15:29:25.761667,API
42,ACC003,PRJ045,Warning,Budget looks fine but,2025-09-09T15:29:25.761670,API
43,ACC038,PRJ027,Critical,Legal compliance issues discovered.,2025-11-12T15:29:25.761673,API
44,ACC020,PRJ058,Critical,Security vulnerability found in production.,2025-10-09T15:29:25.761677,Manual
45,ACC010,PRJ094,Warning,"Minor scope creep detected, monitoring closely.",2025-11-20T15:29:25.761680,API
46,ACC050,PRJ057,Critical,Major budget overrun.,2025-10-02T15:29:25.761683,API
47,ACC010,PRJ054,Good,"Team morale is high, deliverables exceeding expectations.",2025-09-04T15:29:25.761686,Manual
48,ACC050,PRJ011,Critical,Resource constraints causing small delays.,2025-10-22T15:29:25.761690,API
49,ACC009,PRJ006,Warning,Third-party dependency delayed by 2 weeks.,2025-11-08T15:29:25.761693,PowerBI
50,ACC048,PRJ095,Critical,Delayed vendor input despite client praise.,2025-10-13T15:29:25.761696,PowerBI
51,ACC042,PRJ065,Critical,"Budget exceeded by 40%, no daditional funding.",2025-10-22T15:29:25.761705,Manual
52,ACC045,PRJ029,Good,Client satisfaction rating: 9/10.,2025-09-12T15:29:25.761709,API
